lga,state,event_name,agrn,cat_a,cat_b,cat_c,cat_d,severity,start_date,year
Mildura,Victoria,Bushfires: 2 January 2015,642,0,0,0,0,unknown,2015-01-02,2015
Mildura,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
Mitchell,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
Mitchell,Victoria,Bushfires: February 2013,550,0,0,0,0,unknown,2013-02-01,2013
Mitchell,Victoria,Bushfires: 7 February 2014,608,0,0,0,0,unknown,2014-02-07,2014
Mitchell,Victoria,Victorian bushfires: 3 October 2015,676,0,0,0,0,unknown,2015-10-03,2015
Mitchell,Victoria,AGRN 846 - South-East Victoria Bushfires (28 February 2019),846,0,1,0,0,A/B,2019-02-28,2019
Mitchell,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
Moira,Victoria,Bushfires: 7 February 2014,608,0,0,0,0,unknown,2014-02-07,2014
Moira,Victoria,Bushfires: 16 December 2014,644,0,0,0,0,unknown,2014-12-16,2014
Moira,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
Moorabool,Victoria,Victorian Bushfires: 19 to 25 December 2015,689,0,0,0,0,unknown,2015-12-19,2015
Mornington Peninsula,Victoria,Mornington Peninsula Bushfire: January 2016,695,0,0,0,0,unknown,2016-01-18,2016
Mornington Peninsula,Victoria,Ballarat (Mount Bolton) and Mornington Peninsula (Somerville) Bushfires: February 2016,701,0,0,0,0,unknown,2016-02-23,2016
Mount Alexander,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
Mount Alexander,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
Moyne,Victoria,Victorian Bushfires: 21 November 2019 onwards,882,1,1,1,1,C/D,2019-11-21,2019
Murrindindi,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
Murrindindi,Victoria,Victorian bushfires: 3 October 2015,676,0,0,0,0,unknown,2015-10-03,2015
Murrindindi,Victoria,Victorian Bushfires: 19 to 25 December 2015,689,0,0,0,0,unknown,2015-12-19,2015
Murrindindi,Victoria,AGRN 846 - South-East Victoria Bushfires (28 February 2019),846,0,1,0,0,A/B,2019-02-28,2019
Murrindindi,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
Nillumbik,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
Nillumbik,Victoria,Bushfires: 7 February 2014,608,0,0,0,0,unknown,2014-02-07,2014
Northern Grampians,Victoria,Bushfires: February 2013,550,0,0,0,0,unknown,2013-02-01,2013
Northern Grampians,Victoria,Bushfires: 15 January 2014,602,0,0,0,0,unknown,2014-01-15,2014
Northern Grampians,Victoria,Victorian Bushfires: 21 November 2019 onwards,882,1,1,1,1,C/D,2019-11-21,2019
Northern Grampians,Victoria,AGRN 1166 - Western Victoria Bushfires (commencing 16 December 2024),1166,1,1,1,1,C/D,2024-12-16,2024
Northern Grampians,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,0,1,0,0,A/B,2026-01-07,2026
Pyrenees,Victoria,Western Victorian bushfires: January 2013,539,0,0,0,0,unknown,2013-01-01,2013
Pyrenees,Victoria,Victorian Bushfires: 21 November 2019 onwards,882,1,1,1,1,C/D,2019-11-21,2019
Pyrenees,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
South Gippsland,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
South Gippsland,Victoria,Bushfires: 27 March 2013,557,0,0,0,0,unknown,2013-03-27,2013
South Gippsland,Victoria,AGRN 846 - South-East Victoria Bushfires (28 February 2019),846,1,1,0,0,A/B,2019-02-28,2019
Southern Grampians,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
Southern Grampians,Victoria,Bushfires: February 2013,550,0,0,0,0,unknown,2013-02-01,2013
Southern Grampians,Victoria,Bushfires: 15 January 2014,602,0,0,0,0,unknown,2014-01-15,2014
Southern Grampians,Victoria,Bushfires: 2 January 2015,642,0,0,0,0,unknown,2015-01-02,2015
Southern Grampians,Victoria,Victorian Bushfires: 21 November 2019 onwards,882,1,1,1,1,C/D,2019-11-21,2019
Southern Grampians,Victoria,AGRN 1166 - Western Victoria Bushfires (commencing 16 December 2024),1166,1,1,1,1,C/D,2024-12-16,2024
Strathbogie,Victoria,Eastern bushfires: 17 January 2013,540,0,0,0,0,unknown,2013-01-17,2013
Strathbogie,Victoria,Bushfires: 16 December 2014,644,0,0,0,0,unknown,2014-12-16,2014
Strathbogie,Victoria,Victorian Bushfires: 21 November 2019 onwards,882,1,1,1,1,C/D,2019-11-21,2019
Strathbogie,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
Surf Coast,Victoria,Victorian bushfires: 3 October 2015,676,0,0,0,0,unknown,2015-10-03,2015
Surf Coast,Victoria,Victorian Bushfires: 19 to 25 December 2015,689,0,0,0,0,unknown,2015-12-19,2015
Towong,Victoria,AGRN 846 - South-East Victoria Bushfires (28 February 2019),846,0,1,0,0,A/B,2019-02-28,2019
Towong,Victoria,Victorian Bushfires: 21 November 2019 onwards,882,1,1,1,1,C/D,2019-11-21,2019
Towong,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
Wangaratta,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
Wangaratta,Victoria,Bushfires: 16 December 2014,644,0,0,0,0,unknown,2014-12-16,2014
Wangaratta,Victoria,AGRN 846 - South-East Victoria Bushfires (28 February 2019),846,0,1,0,0,A/B,2019-02-28,2019
Wangaratta,Victoria,Victorian Bushfires: 21 November 2019 onwards,882,1,1,1,1,C/D,2019-11-21,2019
Wellington,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
Wellington,Victoria,State-wide bushfires: January 2013,538,0,0,0,0,unknown,2013-01-01,2013
Wellington,Victoria,Eastern bushfires: 17 January 2013,540,0,0,0,0,unknown,2013-01-17,2013
Wellington,Victoria,Bushfires: February 2013,550,0,0,0,0,unknown,2013-02-01,2013
Wellington,Victoria,Bushfires: 7 February 2014,608,0,0,0,0,unknown,2014-02-07,2014
Wellington,Victoria,Rosedale Bushfire: commencing 4 January 2019,837,1,1,0,0,A/B,2019-01-04,2019
Wellington,Victoria,AGRN 846 - South-East Victoria Bushfires (28 February 2019),846,1,1,1,0,C/D,2019-02-28,2019
Wellington,Victoria,Thomson Catchment Bushfires: commencing 25 January 2019,854,1,1,0,0,A/B,2019-01-25,2019
Wellington,Victoria,Victorian Bushfires: 21 November 2019 onwards,882,1,1,1,1,C/D,2019-11-21,2019
Wellington,Victoria,AGRN 1073 - East Victorian Fires (commencing 29 September 2023),1073,1,1,0,0,A/B,2023-09-29,2023
Wellington,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
West Wimmera,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
West Wimmera,Victoria,Bushfires: 27 March 2013,557,0,0,0,0,unknown,2013-03-27,2013
West Wimmera,Victoria,Bushfires: 15 January 2014,602,0,0,0,0,unknown,2014-01-15,2014
West Wimmera,Victoria,Bushfires: 2 January 2015,642,0,0,0,0,unknown,2015-01-02,2015
West Wimmera,Victoria,AGRN 1166 - Western Victoria Bushfires (commencing 16 December 2024),1166,1,1,1,1,C/D,2024-12-16,2024
West Wimmera,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,0,1,0,0,A/B,2026-01-07,2026
Whittlesea,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
Whittlesea,Victoria,Bushfires: February 2013,550,0,0,0,0,unknown,2013-02-01,2013
Whittlesea,Victoria,Victorian Bushfires: 19 to 25 December 2015,689,0,0,0,0,unknown,2015-12-19,2015
Whittlesea,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,0,0,A/B,2026-01-07,2026
Wodonga,Victoria,Bushfires: 16 December 2014,644,0,0,0,0,unknown,2014-12-16,2014
Wodonga,Victoria,Victorian Bushfires: 19 to 25 December 2015,689,0,0,0,0,unknown,2015-12-19,2015
Wodonga,Victoria,Victorian Bushfires: 21 November 2019 onwards,882,1,1,1,1,C/D,2019-11-21,2019
Wodonga,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
Yarra Ranges,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
Yarra Ranges,Victoria,Bushfires: 7 February 2014,608,0,0,0,0,unknown,2014-02-07,2014
Yarra Ranges,Victoria,Victorian Bushfires: 19 to 25 December 2015,689,0,0,0,0,unknown,2015-12-19,2015
Yarra Ranges,Victoria,AGRN 846 - South-East Victoria Bushfires (28 February 2019),846,0,1,0,0,A/B,2019-02-28,2019
Yarra Ranges,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
Yarriambiack,Victoria,Bushfires: 15 January 2014,602,0,0,0,0,unknown,2014-01-15,2014
Yarriambiack,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,0,0,A/B,2026-01-07,2026
Unincorporated Vic,Victoria,Victorian bushfires: January to February 2009,322,0,0,0,0,unknown,2009-01-01,2009
Unincorporated Vic,Victoria,Victorian Bushfires: 21 November 2019 onwards,882,1,1,1,1,C/D,2019-11-21,2019
Unincorporated Vic,Victoria,AGRN 1242 - Victorian Bushfires (commencing 7 January 2026),1242,1,1,1,1,C/D,2026-01-07,2026
Balonne,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Balonne,Queensland,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,1,1,1,1,C/D,2023-09-08,2023
Balonne,Queensland,AGRN 1153 - Dirranbandi Bushfires (5 - 10 November 2024),1153,1,1,0,0,A/B,2024-11-05,2024
Banana,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Banana,Queensland,Central Queensland Bushfires: from 22 November 2018,827,1,1,1,0,C/D,2018-11-22,2018
Banana,Queensland,Central Queensland Bushfires (2-27 October 2025),1255,1,1,0,0,A/B,2025-10-02,2025
Barcaldine,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Barcoo,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Blackall Tambo,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Boulia,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Brisbane,Queensland,Queensland Bushfires: September - December 2019,909,1,1,0,0,A/B,2019-09-01,2019
Brisbane,Queensland,AGRN 1266 - Moreton Island Bushfire (4 to 13 October 2025),1266,1,1,0,0,A/B,2025-10-04,2025
Bulloo,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Bundaberg,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Bundaberg,Queensland,Central Queensland Bushfires: from 22 November 2018,827,1,1,1,0,C/D,2018-11-22,2018
Bundaberg,Queensland,Queensland Bushfires: September - December 2019,909,1,1,1,1,C/D,2019-09-01,2019
Bundaberg,Queensland,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,1,1,1,1,C/D,2023-09-08,2023
Bundaberg,Queensland,Central Queensland Bushfires (2-27 October 2025),1255,1,1,0,0,A/B,2025-10-02,2025
Burdekin,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Burke,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Burke,Queensland,AGRN 1268 - North Queensland Savanna Bushfires (20 October to 13 November 2025),1268,1,1,0,0,A/B,2025-10-20,2025
Carpentaria,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Carpentaria,Queensland,AGRN 1268 - North Queensland Savanna Bushfires (20 October to 13 November 2025),1268,1,1,0,0,A/B,2025-10-20,2025
Cassowary Coast,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Central Highlands,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Central Highlands,Queensland,Central Queensland Bushfires: from 22 November 2018,827,1,1,1,0,C/D,2018-11-22,2018
Central Highlands,Queensland,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,1,1,1,1,C/D,2023-09-08,2023
Central Highlands,Queensland,AGRN 1165 - Mount Tabor Bushfire (22 September to 8 October 2024),1165,1,1,0,0,A/B,2024-09-22,2024
Central Highlands,Queensland,Central Queensland Bushfires (2-27 October 2025),1255,1,1,0,0,A/B,2025-10-02,2025
Charters Towers,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Charters Towers,Queensland,AGRN 1154 - North Queensland Bushfires (12 September - 15 November 2024),1154,1,1,0,0,A/B,2024-09-12,2024
Charters Towers,Queensland,AGRN 1268 - North Queensland Savanna Bushfires (20 October to 13 November 2025),1268,1,1,0,0,A/B,2025-10-20,2025
Cloncurry,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Cloncurry,Queensland,AGRN 1179 - Cloncurry and Mount Isa Bushfires (6 to 29 October 2024),1179,1,1,0,0,A/B,2024-10-06,2024
Cook,Queensland,Queensland Bushfires: September - December 2019,909,1,1,0,0,A/B,2019-09-01,2019
Cook,Queensland,AGRN 1079 - Northern Queensland bushfres (18 October - 8 December 2023),1079,1,1,0,0,A/B,2023-10-18,2023
Cook,Queensland,AGRN 1183 - Cook and Hope Vale Bushfires (20 September to 9 October 2024),1183,1,1,0,0,A/B,2024-09-20,2024
Cook,Queensland,AGRN 1268 - North Queensland Savanna Bushfires (20 October to 13 November 2025),1268,1,1,0,0,A/B,2025-10-20,2025
Croydon,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Croydon,Queensland,AGRN 1268 - North Queensland Savanna Bushfires (20 October to 13 November 2025),1268,1,1,0,0,A/B,2025-10-20,2025
Diamantina,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Etheridge,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Etheridge,Queensland,Far Northern Queensland bushfires: October to December 2012,534,0,0,0,0,unknown,2012-10-01,2012
Etheridge,Queensland,AGRN 1154 - North Queensland Bushfires (12 September - 15 November 2024),1154,1,1,0,0,A/B,2024-09-12,2024
Etheridge,Queensland,AGRN 1268 - North Queensland Savanna Bushfires (20 October to 13 November 2025),1268,1,1,0,0,A/B,2025-10-20,2025
Flinders,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Flinders,Queensland,AGRN 1079 - Northern Queensland bushfres (18 October - 8 December 2023),1079,1,1,0,0,A/B,2023-10-18,2023
Flinders,Queensland,AGRN 1154 - North Queensland Bushfires (12 September - 15 November 2024),1154,1,1,0,0,A/B,2024-09-12,2024
Fraser Coast,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Fraser Coast,Queensland,Queensland Bushfires: September - December 2019,909,1,1,0,0,A/B,2019-09-01,2019
Fraser Coast,Queensland,AGRN 941 - K’gari (Fraser Island) Bushfires (15 Nov - 4 Dec 2020),941,0,1,0,0,A/B,2020-11-09,2020
Gladstone,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Gladstone,Queensland,Central Queensland Bushfires: from 22 November 2018,827,1,1,1,0,C/D,2018-11-22,2018
Gladstone,Queensland,Queensland Bushfires: September - December 2019,909,1,1,1,1,C/D,2019-09-01,2019
Gladstone,Queensland,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,1,1,1,1,C/D,2023-09-08,2023
Gold Coast,Queensland,Queensland Bushfires: September - December 2019,909,1,1,1,1,C/D,2019-09-01,2019
Goondiwindi,Queensland,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,1,1,1,1,C/D,2023-09-08,2023
Goondiwindi,Queensland,AGRN 1254 - Inglewood Bushfires (10 to 17 November 2025),1254,1,1,0,0,A/B,2025-11-10,2025
Gympie,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Gympie,Queensland,Gympie Bushfires: 19-27 September 2018,831,1,1,0,0,A/B,2018-09-19,2018
Gympie,Queensland,Queensland Bushfires: September - December 2019,909,1,1,1,1,C/D,2019-09-01,2019
Gympie,Queensland,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,1,1,1,1,C/D,2023-09-08,2023
Hinchinbrook,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Hope Vale,Queensland,AGRN 1183 - Cook and Hope Vale Bushfires (20 September to 9 October 2024),1183,1,1,0,0,A/B,2024-09-20,2024
Ipswich,Queensland,Queensland Bushfires: September - December 2019,909,1,1,1,1,C/D,2019-09-01,2019
Isaac,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Isaac,Queensland,Central Queensland Bushfires: from 22 November 2018,827,1,1,1,0,C/D,2018-11-22,2018
Isaac,Queensland,Central Queensland Bushfires (2-27 October 2025),1255,1,1,0,0,A/B,2025-10-02,2025
Livingstone,Queensland,Central Queensland Bushfires: from 22 November 2018,827,1,1,1,0,C/D,2018-11-22,2018
Livingstone,Queensland,Queensland Bushfires: September - December 2019,909,1,1,1,1,C/D,2019-09-01,2019
Livingstone,Queensland,Central Queensland Bushfires (2-27 October 2025),1255,1,1,0,0,A/B,2025-10-02,2025
Lockyer Valley,Queensland,Queensland Bushfires: September - December 2019,909,1,1,1,1,C/D,2019-09-01,2019
Lockyer Valley,Queensland,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,1,1,1,1,C/D,2023-09-08,2023
Logan,Queensland,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,1,1,1,1,C/D,2023-09-08,2023
Longreach,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Mackay,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Mackay,Queensland,Central Queensland Bushfires: from 22 November 2018,827,1,1,1,0,C/D,2018-11-22,2018
Mackay,Queensland,Central Queensland Bushfires (2-27 October 2025),1255,1,1,0,0,A/B,2025-10-02,2025
McKinlay,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
McKinlay,Queensland,AGRN 1079 - Northern Queensland bushfres (18 October - 8 December 2023),1079,0,1,0,0,A/B,2023-10-18,2023
Maranoa,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Maranoa,Queensland,AGRN 1078 - Southern Queensland Bushfires (8 September - 7 November 2023),1078,1,1,1,1,C/D,2023-09-08,2023
Maranoa,Queensland,AGRN 1165 - Mount Tabor Bushfire (22 September to 8 October 2024),1165,1,1,0,0,A/B,2024-09-22,2024
Maranoa,Queensland,AGRN 1251 - Darling Downs and Maranoa Bushfires (26 September - 14 October),1251,1,1,0,0,A/B,2025-09-26,2025
Mareeba,Queensland,Mareeba and Tablelands Bushfires: 17 September to 9 October 2018,832,1,1,0,0,A/B,2018-09-17,2018
Mareeba,Queensland,Queensland Bushfires: September - December 2019,909,1,1,0,0,A/B,2019-09-01,2019
Mareeba,Queensland,AGRN 1079 - Northern Queensland bushfres (18 October - 8 December 2023),1079,1,1,0,0,A/B,2023-10-18,2023
Mareeba,Queensland,AGRN 1181 - Silver Valley and Walsh Bluff Bushfires (13 to 24 November 2024),1181,1,1,0,0,A/B,2024-11-13,2024
Mareeba,Queensland,AGRN 1268 - North Queensland Savanna Bushfires (20 October to 13 November 2025),1268,1,1,0,0,A/B,2025-10-20,2025
Mount Isa,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Mount Isa,Queensland,AGRN 1115 - Mount Isa bushfire (23 October - 1 November 2023),1115,1,1,0,0,A/B,2023-10-23,2023
Mount Isa,Queensland,AGRN 1179 - Cloncurry and Mount Isa Bushfires (6 to 29 October 2024),1179,1,1,0,0,A/B,2024-10-06,2024
Murweh,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
Noosa,Queensland,Queensland Bushfires: September - December 2019,909,1,1,1,1,C/D,2019-09-01,2019
North Burnett,Queensland,Queensland bushfires: August to November 2011,458,0,0,0,0,unknown,2011-08-01,2011
