date,year,month,events
2009-01-01,2009,1,1
2009-02-01,2009,2,0
2009-03-01,2009,3,0
2009-04-01,2009,4,0
2009-05-01,2009,5,0
2009-06-01,2009,6,0
2009-07-01,2009,7,0
2009-08-01,2009,8,0
2009-09-01,2009,9,0
2009-10-01,2009,10,0
2009-11-01,2009,11,0
2009-12-01,2009,12,1
2011-01-01,2011,1,0
2011-02-01,2011,2,1
2011-03-01,2011,3,0
2011-04-01,2011,4,0
2011-05-01,2011,5,0
2011-06-01,2011,6,0
2011-07-01,2011,7,0
2011-08-01,2011,8,2
2011-09-01,2011,9,1
2011-10-01,2011,10,1
2011-11-01,2011,11,1
2011-12-01,2011,12,0
2012-01-01,2012,1,0
2012-02-01,2012,2,0
2012-03-01,2012,3,0
2012-04-01,2012,4,0
2012-05-01,2012,5,0
2012-06-01,2012,6,0
2012-07-01,2012,7,0
2012-08-01,2012,8,2
2012-09-01,2012,9,3
2012-10-01,2012,10,11
2012-11-01,2012,11,3
2012-12-01,2012,12,9
2013-01-01,2013,1,5
2013-02-01,2013,2,3
2013-03-01,2013,3,1
2013-04-01,2013,4,0
2013-05-01,2013,5,1
2013-06-01,2013,6,0
2013-07-01,2013,7,0
2013-08-01,2013,8,0
2013-09-01,2013,9,2
2013-10-01,2013,10,5
2013-11-01,2013,11,2
2013-12-01,2013,12,1
2014-01-01,2014,1,7
2014-02-01,2014,2,3
2014-03-01,2014,3,0
2014-04-01,2014,4,0
2014-05-01,2014,5,0
2014-06-01,2014,6,0
2014-07-01,2014,7,0
2014-08-01,2014,8,1
2014-09-01,2014,9,0
2014-10-01,2014,10,0
2014-11-01,2014,11,3
2014-12-01,2014,12,1
2015-01-01,2015,1,3
2015-02-01,2015,2,0
2015-03-01,2015,3,1
2015-04-01,2015,4,0
2015-05-01,2015,5,0
2015-06-01,2015,6,0
2015-07-01,2015,7,0
2015-08-01,2015,8,1
2015-09-01,2015,9,0
2015-10-01,2015,10,1
2015-11-01,2015,11,3
2015-12-01,2015,12,2
2016-01-01,2016,1,3
2016-02-01,2016,2,1
2016-03-01,2016,3,0
2016-04-01,2016,4,0
2016-05-01,2016,5,0
2016-06-01,2016,6,0
2016-07-01,2016,7,0
2016-08-01,2016,8,0
2016-09-01,2016,9,0
2016-10-01,2016,10,0
2016-11-01,2016,11,5
2016-12-01,2016,12,1
2017-01-01,2017,1,4
2017-02-01,2017,2,3
2017-03-01,2017,3,0
2017-04-01,2017,4,0
2017-05-01,2017,5,0
2017-06-01,2017,6,0
2017-07-01,2017,7,0
2017-08-01,2017,8,2
2017-09-01,2017,9,3
2017-10-01,2017,10,1
2017-11-01,2017,11,0
2017-12-01,2017,12,3
2018-01-01,2018,1,8
2018-02-01,2018,2,3
2018-03-01,2018,3,2
2018-04-01,2018,4,1
2018-05-01,2018,5,0
2018-06-01,2018,6,0
2018-07-01,2018,7,0
2018-08-01,2018,8,5
2018-09-01,2018,9,2
2018-10-01,2018,10,1
2018-11-01,2018,11,3
2018-12-01,2018,12,3
2019-01-01,2019,1,8
2019-02-01,2019,2,5
2019-03-01,2019,3,1
2019-04-01,2019,4,0
2019-05-01,2019,5,0
2019-06-01,2019,6,0
2019-07-01,2019,7,1
2019-08-01,2019,8,1
2019-09-01,2019,9,1
2019-10-01,2019,10,0
2019-11-01,2019,11,3
2019-12-01,2019,12,1
2020-01-01,2020,1,0
2020-02-01,2020,2,0
2020-03-01,2020,3,0
2020-04-01,2020,4,0
2020-05-01,2020,5,0
2020-06-01,2020,6,0
2020-07-01,2020,7,0
2020-08-01,2020,8,1
2020-09-01,2020,9,0
2020-10-01,2020,10,1
2020-11-01,2020,11,2
2020-12-01,2020,12,0
2021-01-01,2021,1,0
2021-02-01,2021,2,1
2021-03-01,2021,3,0
2021-04-01,2021,4,0
2021-05-01,2021,5,0
2021-06-01,2021,6,0
2021-07-01,2021,7,0
2021-08-01,2021,8,0
2021-09-01,2021,9,0
2021-10-01,2021,10,0
2021-11-01,2021,11,0
2021-12-01,2021,12,0
2022-01-01,2022,1,0
2022-02-01,2022,2,2
2022-03-01,2022,3,0
2022-04-01,2022,4,0
2022-05-01,2022,5,0
2022-06-01,2022,6,0
2022-07-01,2022,7,0
2022-08-01,2022,8,0
2022-09-01,2022,9,0
2022-10-01,2022,10,0
2022-11-01,2022,11,0
2022-12-01,2022,12,0
2023-01-01,2023,1,3
2023-02-01,2023,2,2
2023-03-01,2023,3,3
2023-04-01,2023,4,0
2023-05-01,2023,5,0
2023-06-01,2023,6,0
2023-07-01,2023,7,0
2023-08-01,2023,8,3
2023-09-01,2023,9,7
2023-10-01,2023,10,12
2023-11-01,2023,11,5
2023-12-01,2023,12,7
2024-01-01,2024,1,1
2024-02-01,2024,2,0
2024-03-01,2024,3,0
2024-04-01,2024,4,0
2024-05-01,2024,5,0
2024-06-01,2024,6,0
2024-07-01,2024,7,0
2024-08-01,2024,8,0
2024-09-01,2024,9,4
2024-10-01,2024,10,1
2024-11-01,2024,11,2
2024-12-01,2024,12,8
2025-01-01,2025,1,3
2025-02-01,2025,2,1
2025-03-01,2025,3,0
2025-04-01,2025,4,0
2025-05-01,2025,5,0
2025-06-01,2025,6,0
2025-07-01,2025,7,0
2025-08-01,2025,8,0
2025-09-01,2025,9,2
2025-10-01,2025,10,6
2025-11-01,2025,11,10
2025-12-01,2025,12,12
2026-01-01,2026,1,4
2026-02-01,2026,2,1
2026-03-01,2026,3,0
2026-04-01,2026,4,0
2026-05-01,2026,5,0
2026-06-01,2026,6,0
2026-07-01,2026,7,0
2026-08-01,2026,8,0
2026-09-01,2026,9,0
2026-10-01,2026,10,0
2026-11-01,2026,11,0
2026-12-01,2026,12,0
